b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
219,Fascículo Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
220,Fascículo Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem ,Software Educacional e Objetos de Aprendizagem,INFORMATICA NA EDUCACAO,UAB,IFES
221,Fascículo Técnicas de Programação,PROGRAMAÇÃO I ,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
222,Fascículo Técnicas de Programação,Técnicas de Programação,Técnicas de Programação,INFORMATICA,UAB,IFES
223,Fascículo Técnicas de Programação ,Técnicas de Programação,Técnicas de Programação,INFORMATICA,UAB,IFES
224,Fascículo TÉCNICAS DE PROGRAMAÇÃO AVANÇADA ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
225,Fascículo TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS ,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TÉCNICAS DE PROGRAMAÇÃO AVANÇADAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
226,Fudamentos de Redes de Computadores,Redes de Computadores,Fundamentos de Redes de Computadores,COMPUTACAO,UAB,UFJF
227,Fundamento da Computação,Fundamento da Computação,Fundamentos da Computação,INFORMATICA NA EDUCACAO,UAB,UFMT
228,Fundamentos da Computação,Introdução à Computação,Fundamentos da Computação,INFORMATICA NA EDUCACAO,UAB,UFMT
229,Fundamentos da Organização de Computadores,Organização de Computadores,Fundamentos da Organização de Computadores,COMPUTACAO,UAB,UFJF
230,FUNDAMENTOS DE BANCO DE DADOS,FUNDAMENTOS DE BANCO DE DADOS,FUNDAMENTOS DE BANCO DE DADOS,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
231,FUNDAMENTOS DE ENGENHARIA DE SOFTWARE,ENGENHARIA DE SOFTWARE,Fundamentos de Engenharia de Software,COMPUTACAO,UAB,UECE
232,Fundamentos de Redes de Computadores,Redes de Computadores,Fundamentos de Redes de Computadores,COMPUTACAO,UAB,UFJF
233,FUNDAMENTOS DE REDES DE COMPUTADORES ,FUNDAMENTOS DE REDES DE COMPUTADORES ,FUNDAMENTOS DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMA PARA INTERNET,UAB,IFMT
234,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,Fundamentos de Sistemas de Informação ,INFORMATICA,UAB,IFES
235,Gerência de Projetos de Sistemas,Gerência de Projetos de Sistemas,GERÊNCIA DE PROJETOS DE SISTEMAS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
236,Gerenciamento de Redes de Computadores,Gerenciamento de Redes de Computadores,GERENCIAMENTO DE REDES DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
237,Hardware de Computadores,Hardware de Computadores,HARDWARE DE COMPUTADORES,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
238,INF001 - Introdução ao Computador,Introdução ao Computador,Introdução ao Computador,INFORMATICA INSTRUMENTAL PARA PROFESSORES DA EDUCACAO BASICA,UAB,UFRGS
239,INF002 - Operação de Computador,Operação de Computador,Operação de Computadores,INFORMATICA INSTRUMENTAL PARA PROFESSORES DA EDUCACAO BASICA,UAB,UFRGS
240,INF013 - Software Educativos,Software Educativos,Softwares Educativos,INFORMATICA INSTRUMENTAL PARA PROFESSORES DA EDUCACAO BASICA,UAB,UFRGS
241,INF016 - Sistemas de Autoria,Sistemas de Autoria,Sistemas de Autoria,INFORMATICA INSTRUMENTAL PARA PROFESSORES DA EDUCACAO BASICA,UAB,UFRGS
242,Infográfico 1 - Taxonomia de Podcast,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
243,Infográfico 2 - Estrutura básica de uma página HTML,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
244,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
245,Instalação do Dev C++,Linguagem de Programação I ,Linguagem de Programação I ,INFORMATICA,UAB,IFES
